,Tipo_Titulo,Data_Vencimento,Data_Base,Taxa_Compra_Manha,Taxa_Venda_Manha,PU_Compra_Manha,PU_Venda_Manha,PU_Base_Manha,titulo_data
0,Tesouro Selic,2006-01-18,2005-11-01,0.02,0.03,2504.47,2504.42,2502.69,Tesouro Selic2006-01-18
1,Tesouro Selic,2006-01-18,2005-11-03,0.02,0.03,2506.2,2506.15,2504.41,Tesouro Selic2006-01-18
2,Tesouro Selic,2006-01-18,2005-11-04,0.02,0.03,2507.93,2507.88,2506.14,Tesouro Selic2006-01-18
3,Tesouro Selic,2006-01-18,2005-11-07,0.02,0.03,2509.66,2509.61,2507.87,Tesouro Selic2006-01-18
4,Tesouro Selic,2006-01-18,2005-11-08,0.02,0.03,2511.39,2511.34,2509.61,Tesouro Selic2006-01-18
5,Tesouro Selic,2006-01-18,2005-11-09,0.02,0.03,2513.12,2513.08,2511.34,Tesouro Selic2006-01-18
6,Tesouro Selic,2006-01-18,2005-11-10,0.02,0.03,2514.86,2514.82,2513.08,Tesouro Selic2006-01-18
7,Tesouro Selic,2006-01-18,2005-11-11,0.02,0.03,2516.6,2516.56,2514.82,Tesouro Selic2006-01-18
8,Tesouro Selic,2006-01-18,2005-11-14,0.01,0.02,2518.39,2518.35,2516.61,Tesouro Selic2006-01-18
9,Tesouro Selic,2006-01-18,2005-11-16,0.01,0.02,2520.13,2520.09,2518.35,Tesouro Selic2006-01-18
10,Tesouro Selic,2006-01-18,2005-11-17,0.01,0.02,2521.88,2521.83,2520.09,Tesouro Selic2006-01-18
11,Tesouro Selic,2006-01-18,2005-11-18,0.01,0.02,2523.62,2523.58,2521.83,Tesouro Selic2006-01-18
12,Tesouro Selic,2006-01-18,2005-11-21,0.0,0.01,2525.41,2525.36,2523.62,Tesouro Selic2006-01-18
13,Tesouro Selic,2006-01-18,2005-11-22,0.0,0.01,2527.15,2527.11,2525.36,Tesouro Selic2006-01-18
14,Tesouro Selic,2006-01-18,2005-11-25,0.0,0.01,2532.29,2532.26,2530.55,Tesouro Selic2006-01-18
15,Tesouro Selic,2006-01-18,2005-11-28,0.0,0.01,2534.0,2533.96,2532.25,Tesouro Selic2006-01-18
16,Tesouro Selic,2006-01-18,2005-11-29,0.0,0.01,2535.7,2535.67,2533.96,Tesouro Selic2006-01-18
17,Tesouro Selic,2006-01-18,2005-12-01,0.0,0.01,2539.12,2539.09,2537.38,Tesouro Selic2006-01-18
18,Tesouro Selic,2006-01-18,2005-12-02,0.0,0.01,2540.84,2540.8,2539.09,Tesouro Selic2006-01-18
19,Tesouro Selic,2006-01-18,2005-12-05,-0.02,0.0,2542.61,2542.55,2540.84,Tesouro Selic2006-01-18
20,Tesouro Selic,2006-01-18,2005-12-06,-0.02,0.0,2544.32,2544.26,2542.55,Tesouro Selic2006-01-18
21,Tesouro Selic,2006-01-18,2005-12-07,-0.02,0.0,2546.03,2545.97,2544.26,Tesouro Selic2006-01-18
22,Tesouro Selic,2006-01-18,2005-12-12,-0.02,0.0,2551.17,2551.12,2549.4,Tesouro Selic2006-01-18
23,Tesouro Selic,2006-01-18,2005-12-13,-0.02,0.0,2552.89,2552.84,2551.12,Tesouro Selic2006-01-18
24,Tesouro Selic,2006-01-18,2005-12-16,-0.02,0.0,2557.95,2557.91,2556.23,Tesouro Selic2006-01-18
25,Tesouro Selic,2006-01-18,2005-12-19,-0.02,0.0,2559.64,2559.59,2557.91,Tesouro Selic2006-01-18
26,Tesouro Selic,2006-01-18,2005-12-20,-0.02,0.0,2561.32,2561.28,2559.6,Tesouro Selic2006-01-18
27,Tesouro Selic,2006-01-18,2005-12-21,-0.02,0.0,2563.0,2562.97,2561.28,Tesouro Selic2006-01-18
28,Tesouro Selic,2006-01-18,2005-12-22,-0.02,0.0,2564.69,2564.65,2562.97,Tesouro Selic2006-01-18
29,Tesouro Selic,2006-01-18,2005-12-26,-0.02,0.0,2568.06,2568.03,2566.34,Tesouro Selic2006-01-18
30,Tesouro Selic,2006-01-18,2005-12-27,-0.02,0.0,2569.75,2569.72,2568.03,Tesouro Selic2006-01-18
31,Tesouro Selic,2006-01-18,2005-12-30,-0.02,0.0,2573.13,2573.11,2571.42,Tesouro Selic2006-01-18
32,Tesouro Selic,2006-01-18,2006-01-02,-0.02,0.0,2576.52,2576.5,2574.81,Tesouro Selic2006-01-18
33,Tesouro Selic,2006-01-18,2006-01-03,-0.02,0.0,2578.21,2578.19,2576.5,Tesouro Selic2006-01-18
34,Tesouro Selic,2006-01-18,2006-01-04,-0.02,0.0,2579.9,2579.88,2578.19,Tesouro Selic2006-01-18
35,Tesouro Selic,2006-01-18,2006-01-05,-0.02,0.0,2581.59,2581.57,2579.88,Tesouro Selic2006-01-18
